Client ID;Конверсия;Марка;Модель;Avg. Session Duration;Bounce Rate;Browser;City;Campaign;Date;Device Category;Domain;Goal Completion Location;Goal Completions;Goal Conversion Rate;Goal Value;Keyword;Medium;Pageviews;Region;Sessions;Source;Source conv.;Продажа;Цена;Валюта
GA1.2.1514258442.1579206904;1;Mercedes;;0,006863426;0,00%;Chrome;Krasnodar;(not set);16.01.2020;mobile;Mersedes-krasnodar.ru;/;1;1;38471;(not provided);organic;12;Krasnodar Krai;1;google;google;0;;
GA1.2.1514258442.1579206904;0;Mercedes;;0,002418981;0,00%;Chrome;Krasnodar;(not set);02.02.2020;mobile;Mersedes-krasnodar.ru;/;0;0;0;(not provided);organic;6;Krasnodar Krai;1;google;google;0;;
GA1.2.1514258927.1580728477;1;BMW;;0;0,00%;Chrome;Sochi;(not set);03.02.2020;mobile;BMW-keyauto-krd.ru;/;1;0,5;26589;(not provided);organic;4;Krasnodar Krai;2;google;google;1;;
GA1.2.1514281835.1580303821;1;Mercedes;;0,002303241;0,00%;Edge;Krasnodar;(not set);29.01.2020;desktop;Mersedes-krasnodar.ru;/;1;1;12440;(not set);referral;10;Krasnodar Krai;1;yandex.ru;yandex.ru;0;;
GA1.2.1514281835.1580303821;1;Mercedes;e220;0;0,00%;Edge;Krasnodar;(not set);03.02.2020;desktop;Mersedes-krasnodar.ru;/models/e220/options/;1;1;40804;автосалоны краснодара;organic;2;Krasnodar Krai;1;yandex;YANDEX;0;3850000;Рубль
GA1.2.151433081.1580578493;1;Mercedes;;0,007210648;0,00%;Chrome;Grozny;(not set);01.02.2020;mobile;Mersedes-krasnodar.ru;/;1;1;19679;(not set);referral;40;Chechnya;1;yandex.ru;yandex.ru;0;;
GA1.2.15144018.1579623519;0;Mercedes;;0,008842593;0,00%;YaBrowser;Krasnodar;(not set);21.01.2020;mobile;Mersedes-krasnodar.ru;/;0;0;0;(not set);referral;8;Krasnodar Krai;1;yandex.ru;yandex.ru;0;;
GA1.2.1514547130.1580543993;0;BMW;;0,00068287;0,00%;Chrome;(not set);(not set);01.02.2020;desktop;BMW-keyauto-krd.ru;/?keyauto_from=1;0;0;0;(not set);(none);4;Moscow Oblast;1;(direct);(direct);0;;
GA1.2.1514547130.1580543993;0;BMW;;0;0,00%;Chrome;(not set);(not set);01.02.2020;desktop;cars.BMW-keyauto-krd.ru;/;0;0;0;(not set);referral;2;Moscow Oblast;1;BMW-keyauto-krd.ru;BMW-keyauto-krd.ru;0;;
GA1.2.1514628738.1578048411;1;Mercedes;;0,011238426;0,00%;Chrome;Gelendzhik;(not set);03.01.2020;mobile;Mersedes-krasnodar.ru;/special/purchase/;1;1;28338;(not provided);organic;14;Krasnodar Krai;1;google;google;0;;
GA1.2.1514672865.1576939648;1;BMW;;0,000648148;0,00%;Chrome;Krasnodar;(not set);12.01.2020;mobile;BMW-keyauto-krd.ru;/;1;1;12840;(not provided);organic;10;Krasnodar Krai;1;google;google;0;;
GA1.2.1514714667.1581790150;1;Mercedes;;0,004259259;0,00%;Edge;Krasnodar;(not set);15.02.2020;desktop;Mersedes-krasnodar.ru;/;1;1;22271;(not set);(none);6;Krasnodar Krai;1;(direct);(direct);0;;
GA1.2.1514778851.1578218024;0;Mercedes;;0;0,00%;YaBrowser;Moscow;(not set);05.01.2020;desktop;Mersedes-krasnodar.ru;/about/reviews/;0;0;0;(not set);referral;2;Moscow;1;yandex.ru;yandex.ru;0;;
GA1.2.1514806336.1578826553;0;BMW;;0;0,00%;Edge;Rostov-on-Don;(not set);12.01.2020;desktop;BMW-keyauto-krd.ru;/?keyauto_from=1;0;0;0;(not set);(none);2;Rostov Oblast;1;(direct);(direct);0;;
GA1.2.1514811444.1579519630;1;Mercedes;;0,002349537;0,00%;Chrome;Krasnodar;(not set);20.01.2020;mobile;Mersedes-krasnodar.ru;/;1;1;36154;(not set);(none);8;Krasnodar Krai;1;(direct);(direct);0;;
GA1.2.1514811444.1579519630;0;Mercedes;;0,001041667;0,00%;Chrome;Krasnodar;(not set);25.01.2020;mobile;Mersedes-krasnodar.ru;/;0;0;0;(not set);(none);8;Krasnodar Krai;2;(direct);(direct);0;;
GA1.2.1514811444.1579519630;1;Mercedes;e220;0,001041667;0,00%;Chrome;Krasnodar;(not set);25.01.2020;mobile;Mersedes-krasnodar.ru;/special/purchase/e220-x-line/item65704166.php;1;0,5;34434;(not set);(none);8;Krasnodar Krai;2;(direct);(direct);0;3850000;Рубль
GA1.2.1514893403.1579091242;1;Mercedes;e220;0,001076389;0,00%;Android Webview;Yablonovsky;e220;15.01.2020;mobile;Mersedes-krasnodar.ru;/special/purchase/e220/item66188051.php;1;1;30721;(not set);cpm;4;Adygea;1;IG;ig;0;3850000;Рубль
